name,energy_cost,card_type,logic,tooltip,credential_abuse,malware,ransomware,insider_threat,data_exfiltration,ddos_attack,phishing,web_application_attack,description,real_world,hint
Review Logs,1,Investigation,Reveal 1 Clue,Examine security logs for suspicious activity,0,0,0,0,0,0,0,0,"Scans activity records for logins, file access, and system changes that don't belong. Works against almost every threat. If nothing shows up, you're probably chasing the wrong threat.",SolarWinds (2020): attackers hid in US government networks for nearly a year. A single suspicious log entry finally exposed them.,"Useful against all threat types. If it reveals nothing, you may be facing the wrong threat."
Threat Intelligence Lookup,1,Investigation,Reveal 1 Clue and gain 5 Containment,Compare findings against known threats,0,0,0,0,0,0,0,0,"Cross-references the attack against a database of known threats. If it matches, you instantly know what you're facing and how others stopped it. Small containment bonus makes it efficient even on a tight energy budget.","NotPetya (2017): after Russian military malware hit globally, threat intel databases identified its origins and tactics within days.",Useful against all threat types. The containment bonus makes it worth playing even when you already have a lead.
Packet Capture,2,Investigation,Reveal 2 Clues,Inspect network traffic for suspicious communications,0,0,0,0,0,0,0,0,Records raw network traffic. Costs more but reveals two clues at once. Use it mid-battle when one clue isn't enough to confirm the threat.,"WannaCry (2017): a researcher captured ransomware traffic, found it pinged an unregistered domain before activating. Registering it for a few dollars stopped the attack worldwide.",Useful against all threat types. Best value mid-battle when a single clue won't confirm the threat.
Analyze Email Header,1,Investigation,Reveal 2 Clues,Inspect sender and routing information,0,0,0,0,0,0,0,0,Reads the hidden routing data in a suspicious email. Fake senders leave traces that are nearly impossible to hide. Two clues for one energy makes this the best-value Investigation card against email threats.,DNC hack (2016): investigators traced the attack to Russian military unit APT28 purely from routing metadata buried in phishing emails.,"Strong counter: Phishing, Credential Abuse. Two clues for one energy - best efficiency in the Investigation category against email-based threats."
Threat Hunt,2,Investigation,Reveal 3 Clues,Proactively search for hidden threats,0,0,0,0,0,0,0,0,Actively searches every corner of the system instead of waiting for an alarm. Most powerful Investigation card: reveals three clues at once against any threat. Use it when you can't afford to guess wrong.,Bangladesh Bank (2016): proactive hunters inside the SWIFT network caught the heist mid-operation. $81M was already gone but further losses were stopped.,Useful against all threat types. The single most powerful Investigation card - use it when you cannot afford to guess wrong.
User Activity Review,1,Investigation,Reveal 1 Clue,Review user actions and access patterns,0,0,0,0,0,0,0,0,"Checks what staff have been accessing on their machines. Cheap, fast, works against any threat. Most valuable when the problem is coming from inside rather than outside.",US defence contractor: behaviour analytics caught classified files being opened late at night by someone with no business reason to access them.,"Strong counter: Insider Threat, Data Exfiltration. Effective against all threats, but shines brightest when the attacker is already inside."
IOC Search,1,Investigation,Reveal 1 Clue and gain 5 Containment,Search for known indicators of compromise,0,0,0,0,0,0,0,0,"Searches for specific warning signs linked to known attacks, like a blood test for a particular illness. Gives a clue and containment simultaneously. Strong when you're falling behind on containment.","Kaseya (2021): published attack indicators let security teams identify and isolate infected systems across 1,500 businesses quickly.",Useful against all threat types. Play it when you are falling behind on containment - the dual effect is the point.
Endpoint Investigation,1,Investigation,Reveal 1 Clue,Inspect devices for suspicious behavior,0,0,0,0,0,0,0,0,Examines one specific device at the centre of the problem. Cheap and reliable against any threat. Good opening move when you don't know where the trouble started.,Sony Pictures (2014): a single compromised laptop revealed the full breach scope. Attackers had been inside for over a year.,Useful against all threat types. Good opening move when you have no idea where the attack started.
DNS Analysis,1,Investigation,Reveal 1 Clue,Review domain lookup activity,0,0,0,0,0,0,0,0,Checks which external addresses the network is contacting. Attackers use DNS to send instructions to malware and smuggle data out quietly. Especially sharp against malware and data theft.,FireEye breach (2020): attackers communicated with planted malware by disguising commands as ordinary DNS lookups.,"Strong counter: Malware, Data Exfiltration. Effective against most threats, but particularly sharp when the attacker is using the network to communicate or exfiltrate."
Forensic Analysis,2,Investigation,Reveal 2 Clues and gain 5 Containment,Perform detailed examination of compromised systems,0,0,0,0,0,0,0,0,"Full crime-scene investigation: fingerprints, timeline, entry point. Expensive but gives two clues and a containment boost at once. Worth it when you need to confirm and act in the same turn.",Target breach (2013): forensics traced 40 million stolen cards back to credentials belonging to a third-party HVAC contractor.,Useful against all threat types. Worth the energy cost when you need to confirm the threat and act on it in the same turn.
SIEM Platform,2,Monitoring,Gain 1 Clue each turn,Centralize and analyze security events,0,0,0,0,0,0,0,0,Central alarm system that collects data from every part of the network and flags anomalies automatically. Play early: the clue it generates every turn compounds into a massive advantage by mid-game.,Colonial Pipeline (2021): SIEM logs let investigators reconstruct exactly how attackers moved through the network after the ransomware hit.,Useful against all threat types. Play as early as possible - the clue it generates every turn compounds quickly.
EDR Monitoring,2,Monitoring,Gain Detection each turn,Continuously monitor endpoints,0,0,0,0,0,0,0,0,Watchdog on every machine that flags the moment an application behaves abnormally. Generates detection every turn and pairs well with Investigation cards to identify the threat faster.,3CX attack (2023): CrowdStrike caught malware hidden in a legitimate business phone app by detecting unusual background processes spawned by trusted software.,"Strong counter: Malware, Ransomware. Generates detection every turn. Pairs well with Investigation cards to close in on the threat faster."
Continuous Logging,1,Monitoring,Gain Detection each turn,Record security-relevant activity,0,0,0,0,0,0,0,0,"Records everything that happens on the network permanently. Without it you're investigating a crime scene with no witnesses. Low cost, stackable; play early for steady detection every turn.",Home Depot (2014): investigators reconstructed a months-long attack across 56 million stolen cards only because comprehensive logs existed.,"Useful against all threat types. Play early. Without logs, every other Investigation card is working blind."
